school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
South Elementary,Prince George County Public Schools,South Elementary Prince George County Public Schools,37.128328,-77.311547,105,470,22.34,38.2,486.21,501,8094,692,2574,11860,5766637,Medium Poverty,Title I,0,0,0,0.4244897959,54,46,0,3,75.25,0.4918367347,0.5081632653,0.1367346939,0.8632653061
South Hill Elementary,Mecklenburg County Public Schools,South Hill Elementary Mecklenburg County Public Schools,36.719376,-78.160159,193,651,29.65,84.2,737.73,1841,6913,461,3931,13146,9698260,High Poverty,Title I,8.3,6.7,5,0.393858478,56,41,0,13.3,74.75,0.5060080107,0.4939919893,0.07076101469,0.9292389853
South Lakes High,Fairfax County Public Schools,South Lakes High Fairfax County Public Schools,38.932156,-77.339225,521,2562,20.34,28.5,2553.05,371,10033,694,6054,17153,43791837,Low Poverty,Non-Title I,2.5,13.4,0.5,0.3192724458,22,72,4,10.4,67.4,0.468847352,0.531152648,0.1880804954,0.8119195046
South River Elementary,Rockingham County Public Schools,South River Elementary Rockingham County Public Schools,38.279659,-78.821621,75,271,27.68,40.5,293,967,8869,327,4159,14322,4196409,Medium Poverty,Title I,8,0,0,0.47,42,54,0,0,55,0.4866666667,0.5133333333,0.09666666667,0.9033333333
South Salem Elementary,Salem City Public Schools,South Salem Elementary Salem City Public Schools,37.27786,-80.082845,48,378,12.7,31.3,375.18,1067,7901,511,3657,13136,4928310,Medium Poverty,Non-Title I,3.2,3.2,3.2,0.4089709763,35,59,0,3.2,80.25,0.4591029024,0.5408970976,0.1741424802,0.8258575198
Southampton Elementary,Richmond City Public Schools,Southampton Elementary Richmond City Public Schools,37.544153,-77.534338,99,394,25.13,100,427.34,482,8786,3624,5962,18854,8056895,,,,,,0.567816092,45,52,0,6.5,44,0.4574712644,0.5425287356,0.1126436782,0.8873563218
Southampton High,Southampton County Public Schools,Southampton High Southampton County Public Schools,36.700884,-77.10639,121,742,16.31,35.6,723.37,501,7138,402,5131,13173,9528859,Medium Poverty,Non-Title I,20,20,14,0.3711615487,54,33,4,24,71,0.4699599466,0.5300400534,0.1335113485,0.8664886515
Southampton Middle,Southampton County Public Schools,Southampton Middle Southampton County Public Schools,36.700666,-77.104425,165,637,25.9,48.9,627.88,306,6745,402,5131,12585,7901813,Medium Poverty,Non-Title I,15.6,31.1,13.3,0.4551083591,60,21,0,8.9,62,0.5030959752,0.4969040248,0.1362229102,0.8637770898
Southeastern Elementary,Chesapeake City Public Schools,Southeastern Elementary Chesapeake City Public Schools,36.657203,-76.223654,110,825,13.33,15.4,846.21,818,8571,228,3266,12884,10902880,Low Poverty,Non-Title I,3.2,0,0,0.154589372,37,58,0,3.2,87.5,0.479468599,0.520531401,0.2185990338,0.7814009662
Southside Elementary,Dinwiddie County Public Schools,Southside Elementary Dinwiddie County Public Schools,37.129805,-77.535245,113,429,26.34,72.5,456.02,1093,10325,197,2355,13970,6370478,Medium Poverty,Title I,2.2,0,0,0.7758241758,51,49,0,6.7,64.75,0.4417582418,0.5582417582,0.09010989011,0.9098901099
Southside Elementary,Pittsylvania County Public Schools,Southside Elementary Pittsylvania County Public Schools,36.688163,-79.373469,43,364,11.81,62.8,388.97,741,7863,336,3275,12215,4751320,Medium Poverty,Title I,0,0,0,0.5674300254,72,25,3,0,84.25,0.4961832061,0.5038167939,0.1017811705,0.8982188295
Southwestern Elementary,Suffolk City Public Schools,Southwestern Elementary Suffolk City Public Schools,36.689922,-76.742905,99,525,18.86,46,563.16,534,6485,579,4378,11977,6744692,Medium Poverty,Title I,0,5,0,0.3394160584,37,56,0,2.5,67,0.503649635,0.496350365,0.1003649635,0.8996350365
Southwestern Elementary,Chesapeake City Public Schools,Southwestern Elementary Chesapeake City Public Schools,36.790576,-76.406084,148,504,29.37,59.9,554.98,1245,8765,228,3266,13505,7494761,Medium Poverty,Title I,9.6,3.8,0,0.6058394161,43,50,0,13.5,67.25,0.4762773723,0.5237226277,0.1660583942,0.8339416058
Sparrow Road Intermediate,Chesapeake City Public Schools,Sparrow Road Intermediate Chesapeake City Public Schools,36.81072,-76.22534,116,479,24.22,60.9,474.49,1246,8183,228,3266,12923,6132023,Medium Poverty,Title I,14.3,9.5,4.8,0.6680584551,39,50,0,9.5,57.25,0.5114822547,0.4885177453,0.1858037578,0.8141962422
