school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Coeburn Primary,Wise County Public Schools,Coeburn Primary Wise County Public Schools,36.948012,-82.468514,53,399,13.28,87.8,438.97,1588,5646,627,3142,11003,4829882,High Poverty,Title I,1.9,0,0,0.4058956916,73,22,4,3.8,88.33333333,0.4965986395,0.5034013605,0.1088435374,0.8911564626
Cold Harbor Elementary,Hanover County Public Schools,Cold Harbor Elementary Hanover County Public Schools,37.593192,-77.319797,39,497,7.85,38.2,517.93,497,9779,66,2256,12599,6525469,Medium Poverty,Non-Title I,2.3,0,0,0.2958579882,24,72,0,2.3,73.25,0.4654832347,0.5345167653,0.1459566075,0.8540433925
Coleman Place Elementary,Norfolk City Public Schools,Coleman Place Elementary Norfolk City Public Schools,36.870208,-76.240997,112,545,20.55,96,606.83,1483,7481,645,3545,13154,7982302,High Poverty,Title I,1.9,7.5,0,0.7100977199,47,42,4,20.8,44,0.5439739414,0.4560260586,0.08794788274,0.9120521173
Coles Elementary,Prince William County Public Schools,Coles Elementary Prince William County Public Schools,38.658823,-77.429164,46,395,11.65,36.2,401.35,606,10945,571,3640,15763,6326481,Medium Poverty,Non-Title I,16.7,5.6,5.6,0.4020100503,32,66,0,5.6,82.25,0.4874371859,0.5125628141,0.1281407035,0.8718592965
College Park Elementary,Virginia Beach City Public Schools,College Park Elementary Virginia Beach City Public Schools,36.805155,-76.212434,84,428,19.63,73.3,486.64,2538,12865,0,0,15404,7496063,Medium Poverty,Title I,2.5,2.5,0,0.7028688525,38,58,0,7.5,57,0.506147541,0.493852459,0.1209016393,0.8790983607
Colonel Fred Cherry Middle,Suffolk City Public Schools,Colonel Fred Cherry Middle Suffolk City Public Schools,36.884234,-76.418515,126,767,16.43,34.3,765.77,37,6269,579,4378,11263,8625176,Medium Poverty,Non-Title I,0,3.7,0,0.3069828722,51,40,2,7.4,71.2,0.5046113307,0.4953886693,0.08959156785,0.9104084321
Colonial Beach Elementary,Colonial Beach Public Schools,Colonial Beach Elementary Colonial Beach Public Schools,38.258587,-76.968674,44,349,12.61,77.6,376.68,0,4399,1589,2757,8745,3294057,Medium Poverty,Title I,11.1,33.3,3.7,0.6153846154,54,25,0,0,60.5,0.4641025641,0.5358974359,0.1538461538,0.8461538462
Colonial Beach High,Colonial Beach Public Schools,Colonial Beach High Colonial Beach Public Schools,38.257717,-76.969,34,231,14.72,77.5,221.7,0,14056,1589,2757,18402,4079727,High Poverty,Non-Title I,5.6,33.3,0,0.5659574468,63,32,5,22.2,55.6,0.4765957447,0.5234042553,0.1234042553,0.8765957447
Colonial Elementary,Botetourt County Public Schools,Colonial Elementary Botetourt County Public Schools,37.355707,-79.844102,28,429,6.53,27.9,442.06,261,7817,145,2883,11107,4909832,Low Poverty,Non-Title I,0,0,0,0.2363636364,53,42,0,0,84.25,0.4613636364,0.5386363636,0.1727272727,0.8272727273
Colonial Forge High,Stafford County Public Schools,Colonial Forge High Stafford County Public Schools,38.434952,-77.451363,353,1917,18.41,20.4,1878.61,314,8064,237,3487,12101,22732935,Low Poverty,Non-Title I,4.9,9.7,2.1,0.2016008004,31,63,3,11.8,80.25,0.5062593891,0.4937406109,0.1415707854,0.8584292146
Colonial Heights High,Colonial Heights City Public Schools,Colonial Heights High Colonial Heights City Public Schools,37.267931,-77.391405,63,810,7.78,47.3,783.12,690,10091,428,3410,14619,11448094,Medium Poverty,Non-Title I,8.1,4.7,0,0.5323741007,49,47,0,10.5,81.75,0.4892086331,0.5107913669,0.1678657074,0.8321342926
Colonial Heights Middle,Colonial Heights City Public Schools,Colonial Heights Middle Colonial Heights City Public Schools,37.246842,-77.400144,154,649,23.73,61.3,648.6,737,8531,428,3410,13106,8500526,Medium Poverty,Title I,12.3,0,0,0.5764525994,60,40,0,17.5,61.6,0.4816513761,0.5183486239,0.1987767584,0.8012232416
Colonial Trail Elementary,Henrico County Public Schools,Colonial Trail Elementary Henrico County Public Schools,37.660986,-77.614363,53,691,7.67,11,696.29,533,7282,89,2979,10882,7576987,Low Poverty,Non-Title I,2.4,0,0,0.1226277372,43,57,0,2.4,86.75,0.502189781,0.497810219,0.06861313869,0.9313868613
Columbia Elementary,Fairfax County Public Schools,Columbia Elementary Fairfax County Public Schools,38.829102,-77.176641,51,391,13.04,38,403.82,543,11186,694,6054,18478,7461711,Medium Poverty,Non-Title I,5,2.5,0,0.3658536585,26,71,2,2.5,77.66666667,0.4609756098,0.5390243902,0.1585365854,0.8414634146
Colvin Run Elementary,Fairfax County Public Schools,Colvin Run Elementary Fairfax County Public Schools,38.946727,-77.264502,29,764,3.8,1.7,780.66,378,9842,694,6054,16969,13246759,Low Poverty,Non-Title I,1.6,0,0,0.03112840467,24,75,0,3.3,93.33333333,0.4708171206,0.5291828794,0.1154345006,0.8845654994
Community Lab School,Albemarle County Public Schools,Community Lab School Albemarle County Public Schools,38.040633,-78.482341,17,189,8.99,21.2,187.86,2,14337,471,3799,18609,3495833,Low Poverty,Non-Title I,3.3,3.3,0,,31,56,6,6.7,80.4,0.5412371134,0.4587628866,0.1958762887,0.8041237113
Concord Elementary,Campbell County Public Schools,Concord Elementary Campbell County Public Schools,37.336161,-78.978772,31,377,8.22,47.8,409.42,1086,6812,654,3352,11904,4873573,Medium Poverty,Title I,0,3.1,0,0.4355231144,54,43,0,9.4,67.25,0.4841849148,0.5158150852,0.1289537713,0.8710462287
Conway Elementary,Stafford County Public Schools,Conway Elementary Stafford County Public Schools,38.34237,-77.43885,147,936,15.71,40.7,902.9,600,7753,237,3487,12077,10904126,Medium Poverty,Title I,3.7,3.7,0,0.3938428875,42,56,0,3.7,49,0.5090329437,0.4909670563,0.08598726115,0.9140127389
Cool Spring Elementary,Petersburg City Public Schools,Cool Spring Elementary Petersburg City Public Schools,37.205221,-77.41489,160,521,30.71,100,518.36,1180,6508,1266,4000,12954,6714577,High Poverty,Title I,10.5,7.9,5.3,0.7773512476,53,48,0,42.1,25.75,0.4884615385,0.5115384615,0.0556621881,0.9443378119
Cool Spring Elementary,Hanover County Public Schools,Cool Spring Elementary Hanover County Public Schools,37.670018,-77.411727,22,742,2.96,9.2,750.68,522,8058,66,2256,10902,8183672,Low Poverty,Non-Title I,5.2,5.2,1.7,0.08991825613,32,67,0,8.6,83.75,0.4686648501,0.5313351499,0.1335149864,0.8664850136
Cool Spring Elementary,Loudoun County Public Schools,Cool Spring Elementary Loudoun County Public Schools,39.089906,-77.548544,87,569,15.29,37.4,585.52,396,16669,13,2246,19324,11314583,Medium Poverty,Non-Title I,1.5,0,0,0.4104347826,22,77,1,0,65.75,0.512195122,0.487804878,0.06434782609,0.9356521739
Cooper Middle,Fairfax County Public Schools,Cooper Middle Fairfax County Public Schools,38.95224,-77.191967,81,999,8.11,1.7,998.41,330,8935,694,6054,16013,15987985,Low Poverty,Non-Title I,0,2.7,0,0.03096903097,26,72,1,1.4,89.33333333,0.4735264735,0.5264735265,0.1108891109,0.8891108891
Cople Elementary,Westmoreland County Public Schools,Cople Elementary Westmoreland County Public Schools,38.073536,-76.675902,41,300,13.67,97.5,334.33,1003,10826,1151,3798,16779,5609620,High Poverty,Title I,6.5,12.9,3.2,0.5857988166,53,38,0,6.5,48.5,0.4556213018,0.5443786982,0.1538461538,0.8461538462
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology Alexandria City Public Schools,38.837616,-77.057302,64,259,24.71,87.3,277.41,2845,23590,945,4703,32082,8899944,High Poverty,Title I,0,4.3,0,0.6366906475,42,50,4,4.3,46.25,0.4748201439,0.5251798561,0.1762589928,0.8237410072
Corporate Landing Elementary,Virginia Beach City Public Schools,Corporate Landing Elementary Virginia Beach City Public Schools,36.787876,-76.007156,58,362,16.02,46.9,405.41,1638,14926,0,0,16564,6715399,Medium Poverty,Non-Title I,7,2.3,0,0.5696517413,34,61,0,7,78.25,0.460199005,0.539800995,0.2089552239,0.7910447761
Corporate Landing Middle,Virginia Beach City Public Schools,Corporate Landing Middle Virginia Beach City Public Schools,36.787435,-76.011542,245,1070,22.9,45.9,1072.7,1529,12765,0,0,14295,15334130,Medium Poverty,Non-Title I,2.4,3.5,0,0.5383895131,36,60,2,0,74,0.4929577465,0.5070422535,0.1554307116,0.8445692884
Cosby High,Chesterfield County Public Schools,Cosby High Chesterfield County Public Schools,37.406083,-77.702539,229,2297,9.97,12.2,2245.69,0,6058,543,4412,11013,24731462,Low Poverty,Non-Title I,4.2,1.4,0,0.1076791077,31,66,2,2.8,88.4,0.5375375375,0.4624624625,0.09180609181,0.9081939082
Council Elementary/Middle,Buchanan County Public Schools,Council Elementary/Middle Buchanan County Public Schools,37.083134,-82.082111,58,163,35.58,84.3,181.77,2192,5900,1116,4297,13504,2454672,High Poverty,Title I,0,0,0,0.6384180791,59,41,0,7.7,62,0.4802259887,0.5197740113,0.1355932203,0.8644067797
Countryside Elementary,Loudoun County Public Schools,Countryside Elementary Loudoun County Public Schools,39.043329,-77.414107,118,658,17.93,33.9,660.88,1115,14651,13,2246,18024,11911740,Medium Poverty,Non-Title I,9.5,4.8,1.2,0.3639097744,27,72,0,4.8,60.5,0.4691729323,0.5308270677,0.08270676692,0.9172932331
Courthouse Road Elementary,Spotsylvania County Public Schools,Courthouse Road Elementary Spotsylvania County Public Schools,38.236589,-77.547099,161,766,21.02,33.6,770.14,230,7715,594,4296,12836,9885332,Medium Poverty,Non-Title I,9.8,2,0,0.3979057592,49,51,0,5.9,76.5,0.4751308901,0.5248691099,0.1740837696,0.8259162304
Courtland Elementary,Spotsylvania County Public Schools,Courtland Elementary Spotsylvania County Public Schools,38.228417,-77.553822,85,470,18.09,34,508.77,268,10091,594,4296,15249,7758219,Medium Poverty,Non-Title I,5.3,0,0,0.3757455268,40,60,0,0,77.5,0.4641434263,0.5358565737,0.2186878728,0.7813121272
Courtland High,Spotsylvania County Public Schools,Courtland High Spotsylvania County Public Schools,38.232059,-77.55158,483,1527,31.63,17.5,1525.17,212,6225,594,4296,11327,17275503,Low Poverty,Non-Title I,7.3,6.3,2.1,0.3477419355,38,59,1,14.6,73.2,0.4851421189,0.5148578811,0.1232258065,0.8767741935
Coventry Elementary,York County Public Schools,Coventry Elementary York County Public Schools,37.106729,-76.439966,75,658,11.4,16.2,679.23,446,6901,19,2934,10300,6996224,Low Poverty,Non-Title I,0,0,0,0.19,27,71,0,2.1,86.75,0.5371428571,0.4628571429,0.09285714286,0.9071428571
Covington High,Alleghany Highlands Public Schools,Covington High Alleghany Highlands Public Schools,37.784073,-79.991508,129,330,39.09,64.5,310.87,731,8230,335,3610,12907,4012265,Medium Poverty,Non-Title I,11.5,0,0,,50,50,0,7.7,55.4,,,,
Covington-Harper Elementary,Prince William County Public Schools,Covington-Harper Elementary Prince William County Public Schools,38.571345,-77.287396,105,784,13.39,42.5,823.82,524,7333,571,3640,12068,9941898,Medium Poverty,Non-Title I,16.4,14.8,8.2,0.3398773006,33,56,0,6.6,76.5,0.4969325153,0.5030674847,0.1153374233,0.8846625767
Cradock Elementary,Portsmouth City Public Schools,Cradock Elementary Portsmouth City Public Schools,36.797874,-76.319853,214,632,33.86,100,633.48,695,6632,548,3432,11307,7162743,High Poverty,Title I,0,12.5,0,0.6,43,50,3,8.9,31.75,0.4646616541,0.5353383459,0.1052631579,0.8947368421
Cradock Middle,Portsmouth City Public Schools,Cradock Middle Portsmouth City Public Schools,36.804759,-76.315658,151,524,28.82,100,518.31,310,9548,548,3432,13837,7172066,High Poverty,Non-Title I,4.8,12.7,3.2,0.6393129771,42,48,3,9.5,37.4,0.5171755725,0.4828244275,0.1469465649,0.8530534351
Craig County High,Craig County Public Schools,Craig County High Craig County Public Schools,37.516483,-80.084366,106,294,36.05,47.6,293.69,562,9001,777,3778,14118,4146407,Medium Poverty,Non-Title I,18.8,0,0,0.4833333333,62,35,0,15.6,65.8,0.4333333333,0.5666666667,0.2333333333,0.7666666667
Craigsville Elementary,Augusta County Public Schools,Craigsville Elementary Augusta County Public Schools,38.082067,-79.380668,18,122,14.75,83.3,137.44,969,11975,653,3214,16810,2310421,High Poverty,Title I,0,0,0,0.7164179104,52,35,0,5,74,0.552238806,0.447761194,0.08955223881,0.9104477612
Creeds Elementary,Virginia Beach City Public Schools,Creeds Elementary Virginia Beach City Public Schools,36.636717,-76.037397,28,303,9.24,24.3,306.01,1410,14184,0,0,15594,4771867,Low Poverty,Non-Title I,0,0,0,0.2312703583,26,70,0,0,87.75,0.4560260586,0.5439739414,0.1042345277,0.8957654723
Creekside Elementary,Suffolk City Public Schools,Creekside Elementary Suffolk City Public Schools,36.851243,-76.462887,110,665,16.54,43.1,722.11,521,6305,579,4378,11783,8508703,Medium Poverty,Title I,0,0,0,0.3053645117,50,48,2,6.3,64.25,0.4649243466,0.5350756534,0.09215955983,0.9078404402
Creighton's Corner Elementary,Loudoun County Public Schools,Creighton's Corner Elementary Loudoun County Public Schools,38.971908,-77.527931,166,1129,14.7,12.5,1130.52,507,12858,13,2246,15624,17663161,Low Poverty,Non-Title I,3,1,0,0.1595744681,24,74,2,4,82.5,0.4937943262,0.5062056738,0.07890070922,0.9210992908
Crestview Elementary,Henrico County Public Schools,Crestview Elementary Henrico County Public Schools,37.600053,-77.521053,36,310,11.61,47.7,339.91,1320,9692,89,2979,14080,4785782,Medium Poverty,Non-Title I,0,0,0,0.4757575758,45,55,0,0,64.5,0.4848484848,0.5151515152,0.1696969697,0.8303030303
Crestwood Elementary,Fairfax County Public Schools,Crestwood Elementary Fairfax County Public Schools,38.787171,-77.194491,104,502,20.72,82.6,552.36,1123,11372,694,6054,19244,10629545,High Poverty,Title I,13.3,0,0,0.5901060071,32,66,0,8.3,50.66666667,0.4770318021,0.5229681979,0.1042402827,0.8957597173
Crestwood Elementary,Chesterfield County Public Schools,Crestwood Elementary Chesterfield County Public Schools,37.526405,-77.53708,84,564,14.89,53,583.79,460,7472,543,4412,12888,7523687,Medium Poverty,Title I,7,0,0,0.3911564626,39,59,2,1.8,68.75,0.4744897959,0.5255102041,0.1139455782,0.8860544218
Crestwood Intermediate,Chesapeake City Public Schools,Crestwood Intermediate Chesapeake City Public Schools,36.760974,-76.277141,146,693,21.07,55.1,696.12,1370,7723,228,3266,12587,8762017,Medium Poverty,Title I,3.5,5.3,0,0.5805991441,41,49,3,8.8,65.75,0.5135520685,0.4864479315,0.1611982882,0.8388017118
Crestwood Middle,Chesapeake City Public Schools,Crestwood Middle Chesapeake City Public Schools,36.76435,-76.281558,96,563,17.05,50.2,560.59,470,9752,228,3266,13717,7689759,Medium Poverty,Non-Title I,1.9,1.9,0,0.5970961887,32,63,0,11.1,56,0.48,0.52,0.1814882033,0.8185117967
Crewe Primary,Nottoway County Public Schools,Crewe Primary Nottoway County Public Schools,37.165133,-78.109593,81,324,25,90.9,355.38,871,5801,2045,3990,12707,4515867,High Poverty,Title I,0,6.1,0,0.6620111732,50,50,0,12.1,75.33333333,0.5391061453,0.4608938547,0.1033519553,0.8966480447
Crittenden Middle,Newport News City Public Schools,Crittenden Middle Newport News City Public Schools,37.026716,-76.445587,170,894,19.02,76.5,890.98,371,9070,1313,3686,14440,12865856,High Poverty,Non-Title I,2.5,15,1.3,0.7256637168,33,49,1,12.5,40,0.5022123894,0.4977876106,0.1780973451,0.8219026549
Critzer Elementary,Pulaski County Public Schools,Critzer Elementary Pulaski County Public Schools,37.059218,-80.74164,77,357,21.57,79.1,392.49,1282,6974,251,3707,12213,4793392,Medium Poverty,Title I,23.8,0,0,0.5864661654,59,33,2,7.1,56,0.5037593985,0.4962406015,0.1528822055,0.8471177945
Crossfield Elementary,Fairfax County Public Schools,Crossfield Elementary Fairfax County Public Schools,38.915014,-77.362144,58,552,10.51,4.7,573.9,520,11030,694,6054,18298,10501346,Low Poverty,Non-Title I,0,0,0,0.05653710247,22,78,0,2,83.66666667,0.464664311,0.535335689,0.148409894,0.851590106
Crossroads PreK-8 School,Norfolk City Public Schools,Crossroads PreK-8 School Norfolk City Public Schools,36.918259,-76.251048,132,744,17.74,61.4,782.95,1434,9314,645,3545,14937,11694953,Medium Poverty,Title I,5.3,6.7,1.3,,39,60,1,6.7,46.2,,,,
Crozet Elementary,Albemarle County Public Schools,Crozet Elementary Albemarle County Public Schools,38.074561,-78.697364,32,331,9.67,26,326.51,657,11703,471,3799,16630,5429968,Low Poverty,Non-Title I,5.9,2.9,2.9,0.1815384615,33,61,0,0,63.5,0.4676923077,0.5323076923,0.1015384615,0.8984615385
Crystal Spring Elementary,Roanoke City Public Schools,Crystal Spring Elementary Roanoke City Public Schools,37.244616,-79.952258,31,304,10.2,24.4,320.72,1022,9127,796,3859,14803,4747774,Low Poverty,Non-Title I,0,0,0,0.1682242991,43,40,0,0,88.5,0.4890965732,0.5109034268,0.1370716511,0.8629283489
Cub Run Elementary,Fairfax County Public Schools,Cub Run Elementary Fairfax County Public Schools,38.865746,-77.458638,84,560,15,15.2,581.13,521,11642,694,6054,18912,10990231,Low Poverty,Non-Title I,3.8,0,0,0.1915641476,31,69,0,11.5,77.33333333,0.4516695958,0.5483304042,0.1915641476,0.8084358524
Cub Run Elementary,Rockingham County Public Schools,Cub Run Elementary Rockingham County Public Schools,38.364137,-78.772161,161,647,24.88,46.4,690.14,1124,6433,327,4159,12042,8310953,Medium Poverty,Title I,6.5,0,0,0.4809384164,57,43,0,0,52,0.4721407625,0.5278592375,0.05865102639,0.9413489736
Culpeper County High,Culpeper County Public Schools,Culpeper County High Culpeper County Public Schools,38.494889,-77.987015,479,1185,40.42,35.8,1182.01,198,9208,745,2110,12261,14493019,Medium Poverty,Non-Title I,8.5,7.7,1.7,0.4134775374,48,48,3,11.1,67.4,0.4958402662,0.5041597338,0.1064891847,0.8935108153
Culpeper Middle,Culpeper County Public Schools,Culpeper Middle Culpeper County Public Schools,38.494514,-77.984901,340,1111,30.6,47.6,1099.85,446,7429,745,2110,10730,11801053,Medium Poverty,Non-Title I,12.3,8.5,5.7,0.4809090909,57,34,2,12.3,60.6,0.4918181818,0.5081818182,0.09727272727,0.9027272727
Cumberland Elementary,Cumberland County Public Schools,Cumberland Elementary Cumberland County Public Schools,37.490737,-78.249792,199,425,46.82,85.8,502.18,2935,8465,236,3290,14926,7495422,High Poverty,Title I,4.3,4.3,0,0.5853658537,58,40,2,6.5,62.5,0.5304878049,0.4695121951,0.09756097561,0.9024390244
Cumberland High,Cumberland County Public Schools,Cumberland High Cumberland County Public Schools,37.492067,-78.249446,106,377,28.12,71,366.41,1582,10085,236,3290,15193,5566918,High Poverty,Non-Title I,4.9,2.4,0,0.5444743935,40,56,2,22,57,0.460916442,0.539083558,0.1239892183,0.8760107817
Cumberland Middle,Cumberland County Public Schools,Cumberland Middle Cumberland County Public Schools,37.490737,-78.249792,88,349,25.21,82.8,349.86,0,6694,236,3290,10219,3575382,High Poverty,Non-Title I,5.3,2.6,0,0.6,53,48,0,18.4,53.6,0.4608695652,0.5391304348,0.1043478261,0.8956521739
Cunningham Park Elementary,Fairfax County Public Schools,Cunningham Park Elementary Fairfax County Public Schools,38.892243,-77.249972,48,393,12.21,31.8,429.12,772,12584,694,6054,20104,8626994,Medium Poverty,Non-Title I,0,0,0,0.3536299766,31,65,4,6.5,66.66666667,0.4800936768,0.5199063232,0.2224824356,0.7775175644
D.G. Cooley Elementary,Clarke County Public Schools,D.G. Cooley Elementary Clarke County Public Schools,39.158881,-78.001449,80,450,17.78,25.1,443.48,567,7796,305,3849,12518,5551412,Low Poverty,Title I,11.4,2.3,0,0.3225058005,41,59,0,13.6,68.25,0.5197215777,0.4802784223,0.09512761021,0.9048723898
D.J. Montague Elementary,Williamsburg-James City County Public Schools,D.J. Montague Elementary Williamsburg-James City County Public Schools,37.310537,-76.792227,61,509,11.98,32.5,500.28,815,8406,559,4980,14760,7384080,Medium Poverty,Title I,6.5,2.2,2.2,0.3627819549,38,58,0,4.3,74,0.4877589454,0.5122410546,0.1503759398,0.8496240602
Dale City Elementary,Prince William County Public Schools,Dale City Elementary Prince William County Public Schools,38.636533,-77.313776,92,399,23.06,74.4,422.09,1649,11556,571,3640,17416,7350926,Medium Poverty,Title I,9.3,2.3,0,0.7287735849,40,58,2,4.7,59.25,0.4622641509,0.5377358491,0.1863207547,0.8136792453
Damascus Middle,Washington County Public Schools,Damascus Middle Washington County Public Schools,36.639748,-81.803944,41,163,25.15,63.6,165.25,885,11002,656,3308,15850,2619277,Medium Poverty,Non-Title I,0,0,0,0.5272727273,41,59,0,2.3,80.8,0.4848484848,0.5151515152,0.1333333333,0.8666666667
Dan River High,Pittsylvania County Public Schools,Dan River High Pittsylvania County Public Schools,36.661677,-79.300145,158,599,26.38,56.5,602.44,233,8376,336,3275,12221,7362236,Medium Poverty,Non-Title I,1.4,7.2,0,0.4936305732,50,46,0,2.9,75,0.4792993631,0.5207006369,0.1656050955,0.8343949045
Dan River Middle,Pittsylvania County Public Schools,Dan River Middle Pittsylvania County Public Schools,36.654236,-79.304555,59,443,13.32,60.6,442.49,507,7766,336,3275,11884,5258376,Medium Poverty,Title I,3.8,5.8,1.9,0.518018018,61,35,0,9.6,73.2,0.5585585586,0.4414414414,0.1036036036,0.8963963964
Daniel Morgan Intermediate,Winchester City Public Schools,Daniel Morgan Intermediate Winchester City Public Schools,39.179167,-78.150463,150,587,25.55,65.3,591.34,355,8648,963,4876,14842,8776900,Medium Poverty,Non-Title I,6.9,8.6,3.4,0.6468590832,32,53,8,3.4,48,0.494057725,0.505942275,0.181663837,0.818336163
Daniel Morgan Middle,Winchester City Public Schools,Daniel Morgan Middle Winchester City Public Schools,39.179167,-78.150463,126,624,20.19,63.1,624.74,609,9096,963,4876,15544,9710797,Medium Poverty,Non-Title I,9.4,11.3,3.8,0.6516853933,33,65,2,7.5,65.2,0.4751203852,0.5248796148,0.1781701445,0.8218298555
Daniels Run Elementary,Fairfax County Public Schools,Daniels Run Elementary Fairfax County Public Schools,38.852237,-77.296032,128,764,16.75,32,778.17,477,10937,694,6054,18162,14133268,Medium Poverty,Non-Title I,2.8,0,0,0.3204633205,21,77,1,9.7,65.66666667,0.4736164736,0.5263835264,0.1879021879,0.8120978121
Dare Elementary,York County Public Schools,Dare Elementary York County Public Schools,37.162591,-76.458157,36,380,9.47,28,391.13,726,8427,19,2934,12106,4734938,Low Poverty,Non-Title I,2.9,0,0,0.17,27,68,3,2.9,81.75,0.5125,0.4875,0.1425,0.8575
David A. Dutrow Elementary,Newport News City Public Schools,David A. Dutrow Elementary Newport News City Public Schools,37.14288,-76.553513,77,450,17.11,76.5,451.74,104,7969,1313,3686,13072,5905306,Medium Poverty,Non-Title I,0,0,0,0.5323275862,31,66,0,3.3,51,0.4827586207,0.5172413793,0.04310344828,0.9568965517
David A. Harrison Elementary,Prince George County Public Schools,David A. Harrison Elementary Prince George County Public Schools,37.134458,-77.227687,157,475,33.05,53.5,519.41,751,8617,692,2574,12633,6561656,Medium Poverty,Title I,2.7,5.4,0,0.5066413662,56,33,0,5.4,67.5,0.4781783681,0.5218216319,0.1442125237,0.8557874763
Deep Creek Central Elementary,Chesapeake City Public Schools,Deep Creek Central Elementary Chesapeake City Public Schools,36.739907,-76.337299,142,811,17.51,29.4,832.77,476,7089,228,3266,11060,9210365,Low Poverty,Non-Title I,14,0,0,0.2645314353,34,63,2,7,78.5,0.5041617122,0.4958382878,0.1850533808,0.8149466192
Deep Creek Elementary,Chesapeake City Public Schools,Deep Creek Elementary Chesapeake City Public Schools,36.756412,-76.346359,186,738,25.2,47.9,765.94,363,8257,228,3266,12114,9278625,Medium Poverty,Non-Title I,7.1,0,0,0.438961039,36,50,2,10.7,79,0.4701298701,0.5298701299,0.1896103896,0.8103896104
Deep Creek High,Chesapeake City Public Schools,Deep Creek High Chesapeake City Public Schools,36.753352,-76.351289,323,1602,20.16,46,1595.61,255,10259,228,3266,14008,22351858,Medium Poverty,Non-Title I,0,0,0,0.4829059829,36,59,2,1.6,77.8,0.5204892966,0.4795107034,0.1764346764,0.8235653236
Deep Creek Middle,Chesapeake City Public Schools,Deep Creek Middle Chesapeake City Public Schools,36.753799,-76.341679,135,797,16.94,48.1,796.42,175,9432,228,3266,13102,10434465,Medium Poverty,Non-Title I,2.8,1.4,1.4,0.4738154613,33,62,0,5.6,64.4,0.5124688279,0.4875311721,0.1982543641,0.8017456359
Deep Run High,Henrico County Public Schools,Deep Run High Henrico County Public Schools,37.675125,-77.599355,182,2031,8.96,7.5,1900.39,392,6633,89,2979,10092,19178963,Low Poverty,Non-Title I,0.9,1.8,0,0.1061204344,39,57,2,5.3,85.8,0.4540967423,0.5459032577,0.08193484699,0.918065153
Deer Park Elementary,Fairfax County Public Schools,Deer Park Elementary Fairfax County Public Schools,38.855792,-77.470936,64,527,12.14,29.7,563.23,655,13119,694,6054,20522,11558804,Low Poverty,Non-Title I,1.8,0,0,0.2985865724,16,82,2,3.6,63.33333333,0.4707964602,0.5292035398,0.2261484099,0.7738515901
Deer Park Elementary,Newport News City Public Schools,Deer Park Elementary Newport News City Public Schools,37.072767,-76.475122,26,522,4.98,76.5,526.16,153,7571,1313,3686,12724,6694602,Medium Poverty,Non-Title I,3.1,9.4,3.1,0.382739212,41,41,0,3.1,80.5,0.5403377111,0.4596622889,0.06941838649,0.9305816135
Denbigh High,Newport News City Public Schools,Denbigh High Newport News City Public Schools,37.126024,-76.548905,328,1180,27.8,76.4,1171.28,368,10056,1313,3686,15423,18064760,High Poverty,Non-Title I,5.4,12.6,5.4,0.6473988439,32,54,1,15.3,53,0.415907208,0.584092792,0.1808422791,0.8191577209
Dinwiddie County High,Dinwiddie County Public Schools,Dinwiddie County High Dinwiddie County Public Schools,37.113654,-77.583041,471,1278,36.85,42.7,1254.26,469,9021,197,2355,12042,15103272,Medium Poverty,Non-Title I,9.6,5.3,2.1,0.6052428682,53,44,2,14.9,66.6,0.4811102544,0.5188897456,0.1542020046,0.8457979954
Dinwiddie County Middle,Dinwiddie County Public Schools,Dinwiddie County Middle Dinwiddie County Public Schools,37.111884,-77.587875,291,947,30.73,54,938.59,348,8615,197,2355,11515,10808062,Medium Poverty,Non-Title I,14.9,5.4,1.4,0.9326203209,56,42,0,18.9,52.6,0.5037433155,0.4962566845,0.1454545455,0.8545454545
Dinwiddie Elementary,Dinwiddie County Public Schools,Dinwiddie Elementary Dinwiddie County Public Schools,37.080851,-77.582093,77,351,21.94,50.1,350,1316,10720,197,2355,14588,5105923,Medium Poverty,Title I,8.3,0,0,0.7953216374,51,49,0,5.6,62,0.4795321637,0.5204678363,0.1637426901,0.8362573099
Discovery Elementary,Loudoun County Public Schools,Discovery Elementary Loudoun County Public Schools,39.019292,-77.477747,78,667,11.69,20.3,690.95,623,15147,13,2246,18028,12456677,Low Poverty,Non-Title I,3.9,0,0,0.2621502209,27,71,0,11.7,79.75,0.4653902798,0.5346097202,0.1075110457,0.8924889543
Discovery Elementary,Arlington County Public Schools,Discovery Elementary Arlington County Public Schools,38.908379,-77.147202,14,480,2.92,3.4,518.48,0,11500,968,7589,20058,10399613,Low Poverty,Non-Title I,11.6,2.3,2.3,0.02144249513,16,78,4,2.3,84.25,0.4619883041,0.5380116959,0.1325536062,0.8674463938
